Designator,Mid X,Mid Y,Layer,Rotation
C1,130.901100,-133.738550,top,90.000000
C2,130.901100,-144.488550,top,90.000000
C3,129.401100,-109.488550,top,90.000000
C4,129.401100,-113.238550,top,-90.000000
C5,129.361100,-117.708550,top,-90.000000
C6,129.401100,-120.988550,top,-90.000000
C7,139.651100,-126.988550,top,-90.000000
C8,139.651100,-130.988550,top,-90.000000
C9,139.151100,-123.488550,top,0.000000
C10,143.401100,-123.488550,top,0.000000
C11,135.151100,-113.988550,top,0.000000
C12,135.151100,-111.738550,top,0.000000
C13,133.651100,-94.738550,top,0.000000
C14,142.151100,-90.238550,top,0.000000
C15,138.171100,-84.198550,top,0.000000
C16,138.231100,-90.278550,top,180.000000
C17,138.151100,-82.363550,top,0.000000
C18,138.151100,-91.863550,top,180.000000
C19,144.151100,-131.488550,top,180.000000
C20,149.151100,-131.488550,top,180.000000
C21,149.151100,-107.738550,top,180.000000
C22,149.151100,-78.988550,top,0.000000
C23,149.151100,-75.238550,top,0.000000
C24,149.151100,-114.738550,top,180.000000
C25,143.651100,-114.738550,top,180.000000
C26,143.401100,-107.738550,top,180.000000
C27,135.901100,-142.488550,top,-90.000000
C28,135.901100,-146.488550,top,-90.000000
C29,143.901100,-146.488550,top,-90.000000
C30,143.901100,-142.488550,top,-90.000000
C31,151.901100,-145.988550,top,-90.000000
C32,154.901100,-145.988550,top,-90.000000
C33,152.151100,-92.238550,top,90.000000
C34,149.401100,-92.238550,top,90.000000
C35,152.401100,-87.488550,top,90.000000
C36,168.151100,-89.488550,top,0.000000
C37,168.401100,-81.488550,top,0.000000
D1,136.151100,-78.488550,top,0.000000
D2,139.401100,-78.488550,top,0.000000
FB1,125.901100,-132.238550,top,90.000000
FB2,125.901100,-142.488550,top,90.000000
H1,121.901100,-137.988550,top,-90.000000
H2,121.901100,-89.488550,top,-90.000000
H3,121.901100,-113.988550,top,-90.000000
H4,175.151100,-140.738550,top,90.000000
H5,169.901100,-140.738550,top,90.000000
H6,167.901100,-118.488550,top,90.000000
H7,171.651100,-118.488550,top,-90.000000
H8,160.101100,-84.628550,top,0.000000
JP2,130.401100,-98.988550,top,0.000000
JP3,130.401100,-101.738550,top,0.000000
MIDI1,157.001100,-64.788550,top,0.000000
R1,127.151100,-109.488550,top,-90.000000
R2,127.151100,-113.238550,top,90.000000
R3,126.901100,-117.738550,top,90.000000
R4,126.901100,-120.988550,top,90.000000
R5,137.151100,-126.988550,top,90.000000
R6,137.281100,-131.018550,top,90.000000
R7,126.401100,-79.988550,top,180.000000
R8,126.401100,-82.988550,top,180.000000
R9,126.401100,-85.988550,top,180.000000
R10,126.401100,-88.988550,top,180.000000
R11,126.401100,-91.988550,top,180.000000
R12,126.401100,-94.988550,top,180.000000
R13,126.401100,-81.488550,top,0.000000
R14,126.401100,-84.488550,top,0.000000
R15,126.401100,-87.488550,top,0.000000
R16,126.401100,-90.488550,top,0.000000
R17,126.401100,-93.488550,top,0.000000
R18,126.401100,-96.488550,top,0.000000
R19,133.651100,-96.738550,top,0.000000
R20,142.151100,-92.238550,top,180.000000
R21,133.651100,-92.238550,top,0.000000
R22,133.871100,-84.198550,top,0.000000
R23,142.861100,-84.668550,top,90.000000
R24,144.151100,-127.488550,top,0.000000
R25,149.151100,-127.488550,top,0.000000
R26,149.151100,-103.738550,top,0.000000
R27,144.151100,-129.238550,top,180.000000
R28,149.151100,-129.238550,top,180.000000
R29,149.151100,-105.488550,top,180.000000
R30,148.776100,-72.113550,top,0.000000
R31,158.276100,-72.238550,top,0.000000
R32,154.351100,-78.938550,top,180.000000
R33,158.901100,-78.988550,top,0.000000
R34,163.401100,-78.988550,top,180.000000
R35,149.151100,-112.488550,top,180.000000
R36,143.651100,-112.488550,top,180.000000
R37,143.401100,-105.488550,top,180.000000
R38,149.151100,-110.738550,top,180.000000
R39,143.651100,-110.738550,top,180.000000
R40,143.401100,-103.738550,top,180.000000
R41,149.401100,-87.488550,top,-90.000000
T1,154.401100,-72.988550,top,0.000000
T2,163.901100,-72.988550,top,0.000000
TP2,142.841100,-88.068550,top,0.000000
TP3,133.261100,-86.068550,top,0.000000
TP_1,132.251100,-105.318550,top,0.000000
TP_2,138.901100,-109.738550,top,0.000000
TP_3,135.851100,-105.318550,top,0.000000
TP_4,134.111100,-117.398550,top,0.000000
TP_5,133.991100,-121.648550,top,0.000000
TP_6,146.871100,-122.648550,top,0.000000
TP_7,147.651100,-117.738550,top,0.000000
TP_SER0,155.351100,-100.898550,top,0.000000
U$1,129.901100,-57.488550,top,0.000000
U1,135.151100,-108.738550,top,90.000000
U2,141.551100,-119.638550,top,-90.000000
U3,138.261100,-87.178550,top,-90.000000
U4,139.901100,-144.988550,top,180.000000
U5,148.191100,-144.578550,top,-90.000000
U6,157.901100,-96.488550,top,90.000000
X1,173.401100,-83.988550,top,0.000000
